year,document_type,n_records
2010,Article,881
2010,Review,46
2011,Article,1059
2011,Review,49
2012,Article,1155
2012,Review,77
2013,Article,1311
2013,Review,56
2014,Article,1382
2014,Review,58
2015,Article,1507
2015,Review,58
2016,Article,1636
2016,Review,74
2017,Article,1806
2017,Review,83
2018,Article,2292
2018,Review,108
2019,Article,3115
2019,Review,190
2020,Article,4282
2020,Review,283
2021,Article,5398
2021,Review,455
2022,Article,7414
2022,Review,590
2023,Article,8939
2023,Review,769
2024,Article,11556
2024,Review,1094
2025,Article,17226
2025,Review,2295
