iso3,country,region,income_group,population,food_system_need_index_main_min4,food_system_need_index_strict_all5,n_need_axes_available,dominant_need_profile,missing_need_axes,need_food_security_score,need_nutrition_score,need_food_waste_score,need_sustainability_score,need_supply_vulnerability_score,undernourishment_pct,child_stunting_pct,adult_obesity_pct,household_food_waste_kg_capita,household_food_waste_confidence,agrifood_ghg_tco2eq_per_capita,cereal_import_dependency_pct
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,10576502.0,0.8079554484467402,0.8079554484467402,5,supply_vulnerability,none,0.9349112426035504,0.7624820519514424,0.5720930232558139,0.8066037735849056,0.9636871508379888,28.7,49.5,21.200000000000003,89.0,Very low confidence,3.5028367034771994,100.0
SDN,Sudan,Sub-Saharan Africa,Low income,50448963.0,0.7216713597701386,0.7216713597701386,5,nutrition,none,0.6745562130177515,0.9386503067484664,0.9255813953488372,0.6226415094339622,0.4469273743016759,11.0,38.2,,116.0,Very low confidence,2.200602129324244,33.5
VUT,Vanuatu,East Asia & Pacific,Lower middle income,327777.0,0.7208356363903659,0.7208356363903659,5,supply_vulnerability,none,0.6035502958579881,0.7745888265239524,0.9604651162790696,0.3018867924528302,0.9636871508379888,7.2,28.9,25.15,141.0,Medium confidence,1.2555221995442023,100.0
LBR,Liberia,Sub-Saharan Africa,Low income,5612817.0,0.7195017669265413,0.7195017669265413,5,food_security,none,0.9526627218934912,0.545351455423574,0.7465116279069768,0.7216981132075472,0.6312849162011173,35.5,29.8,9.85,92.0,Low confidence,2.6712851675014524,60.7
NAM,Namibia,Sub-Saharan Africa,Lower middle income,3030131.0,0.7188257651156971,0.7188257651156971,5,sustainability,none,0.8165680473372781,0.5323880694426315,0.627906976744186,0.9245283018867924,0.6927374301675978,18.1,22.7,16.45,90.0,Low confidence,7.105760708035396,69.2
CAF,Central African Republic,Sub-Saharan Africa,Low income,5330690.0,0.7154018261957322,0.7154018261957322,5,sustainability,none,0.940828402366864,0.5513640516903798,0.7465116279069768,0.9528301886792452,0.3854748603351955,29.8,37.9,7.300000000000001,92.0,Low confidence,9.99934087332034,24.9
GAB,Gabon,Sub-Saharan Africa,Upper middle income,2538952.0,0.7122791392019634,0.7122791392019634,5,food_security,none,0.9171597633136096,0.4309489622764652,0.627906976744186,0.7641509433962265,0.8212290502793296,25.3,14.4,14.95,90.0,Low confidence,2.924054846251524,91.2
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,1368333.0,0.7001505463042144,0.7001505463042144,5,sustainability,none,0.6893491124260355,0.3852548622895183,0.4860465116279069,0.9764150943396226,0.9636871508379888,11.2,9.2,18.4,88.0,Low confidence,15.608450209123072,100.0
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,6916140.0,0.6876707259585789,0.6876707259585789,5,sustainability,none,0.8047337278106509,0.6199745464038637,0.627906976744186,0.8773584905660378,0.5083798882681564,17.3,17.3,23.45,90.0,Low confidence,5.28122276298629,40.6
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,6332961.0,0.6851068983169126,0.6851068983169126,5,food_security,none,0.9230769230769232,0.4570062655005874,0.5720930232558139,0.5990566037735849,0.8743016759776536,26.4,21.2,9.5,89.0,Low confidence,2.1442746607787413,96.2
