iso3,country,ai_food_papers_full_count,ai_food_papers_fractional_count,n_unique_papers,first_year,last_year,region,income_group,population,gdp_current_usd,rd_expenditure_pct_gdp,food_system_need_index_main_min4,food_system_need_index_strict_all5,need_food_security_score,need_nutrition_score,need_food_waste_score,need_sustainability_score,need_supply_vulnerability_score,ai_food_papers_per_million_population_full,ai_food_papers_per_million_population_fractional,ai_food_papers_per_billion_gdp_full,ai_food_papers_per_billion_gdp_fractional
CHN,China,25837.0,22317.488270689577,25837,2010,2025,East Asia & Pacific,Upper middle income,1408975000.0,18743803170827.2,2.57729,0.2477858584581972,0.2477858584581972,0.1893491124260355,0.1481856154549014,0.241860465116279,0.4528301886792453,0.2067039106145251,18.337443886513245,15.839520410716709,1.378428900715978,1.1906595511749958
USA,United States,14094.0,10283.24701739523,14094,2010,2025,North America,High income,340110988.0,29184890000000.0,3.44716,0.3650218942736569,0.3650218942736569,0.1893491124260355,0.538229343427751,0.213953488372093,0.7830188679245284,0.1005586592178771,41.439413889209604,30.23497440604662,0.482921128022069,0.3523483219362906
IND,India,6932.0,5812.491361634581,6932,2010,2025,South Asia,Lower middle income,1450935791.0,3912686168582.21,0.64558,0.3038231619514842,0.3038231619514842,0.7100591715976331,0.4596168907453334,0.0790697674418604,0.1698113207547169,0.1005586592178771,4.777606316556843,4.00602934856859,1.771672886944536,1.4855501083391973
GBR,United Kingdom,4106.0,2181.6282382057225,4106,2010,2025,Europe & Central Asia,High income,69226000.0,3643834188782.91,2.67614,0.3454632013860026,0.3454632013860026,0.1893491124260355,0.4547709176347735,0.241860465116279,0.5424528301886793,0.2988826815642458,59.312974893826016,31.51457888951727,1.1268350279603307,0.5987177585965886
ITA,Italy,3083.0,2089.387675582072,3083,2010,2025,Europe & Central Asia,High income,58952704.0,2372774547793.12,1.37935,0.531304858486189,0.531304858486189,0.1893491124260355,0.449468085106383,0.8976744186046511,0.6367924528301887,0.4832402234636871,52.296159307637524,35.44176151075398,1.2993227708327575,0.8805672993775908
ESP,Spain,2956.0,1961.5996444465407,2956,2010,2025,Europe & Central Asia,High income,48848840.0,1722745978335.16,1.49362,0.4035755072924646,0.4035755072924646,0.1893491124260355,0.6808510638297872,0.1209302325581395,0.5518867924528302,0.4748603351955307,60.51320768313025,40.156524585774,1.7158652739138252,1.1386470606317747
DEU,Germany,3145.0,1898.3579937443017,3145,2010,2025,Europe & Central Asia,High income,83516593.0,4659929336890.62,3.1539,0.2970906211883384,0.2970906211883384,0.1893491124260355,0.3220043075316538,0.2697674418604651,0.6037735849056604,0.1005586592178771,37.65718747650542,22.730309337981513,0.6749029379270651,0.4073791374293667
KOR,"Korea, Rep.",2449.0,1888.5404469060352,2449,2010,2025,East Asia & Pacific,High income,51751065.0,17127928542023.7,4.94352,0.4662510103208198,0.4662510103208198,0.1893491124260355,0.0300711395379193,0.813953488372093,0.5660377358490566,0.7318435754189944,47.32269761018445,36.49278419499261,0.1429828478085562,0.11026087844028921
BRA,Brazil,2201.0,1712.6042626224823,2201,2010,2025,Latin America & Caribbean,Upper middle income,211998573.0,2179412080828.59,1.1938,0.4905479103455549,0.4905479103455549,0.1893491124260355,0.4478690771439759,0.8093023255813954,0.9056603773584906,0.1005586592178771,10.382145355289726,8.078376370120578,1.0099053865771004,0.7858102089492722
JPN,Japan,2147.0,1651.0972914941956,2147,2010,2025,East Asia & Pacific,High income,123975371.0,4026210821146.81,3.44125,0.3159997638187164,,,0.1489851194361049,0.0976744186046511,0.330188679245283,0.6871508379888268,17.317955838180147,13.317945961171558,0.5332557323435082,0.4100871426856638
CAN,Canada,2527.0,1562.488473602421,2527,2010,2025,North America,High income,41288599.0,2241253230970.34,1.7908,0.4746718720306487,0.4746718720306487,0.1893491124260355,0.8776595744680851,0.2906976744186046,0.9150943396226416,0.1005586592178771,61.20333605894451,37.84309740329094,1.1274941916786205,0.6971494572819641
AUS,Australia,2693.0,1561.4722755735836,2693,2010,2025,East Asia & Pacific,High income,27196812.0,1752193307380.34,1.85783,0.5018144711056809,0.5018144711056809,0.1893491124260355,0.4714462863855894,0.827906976744186,0.9198113207547168,0.1005586592178771,99.01895854558248,57.41379818978723,1.5369308789486453,0.891152973245915
IRN,"Iran, Islamic Rep.",1995.0,1526.619900829305,1995,2010,2025,Middle East & North Africa,Upper middle income,91567738.0,436906331671.859,0.72665,0.5428672403325624,0.5428672403325624,0.5710059171597633,0.4660047643910717,0.7976744186046512,0.410377358490566,0.4692737430167598,21.787149530765955,16.67202809825121,4.566196128048692,3.494158335924235
FRA,France,2107.0,1234.0915933473132,2107,2010,2025,Europe & Central Asia,High income,68551653.0,3162079073495.78,2.17832,0.3353791624622489,0.3353791624622489,0.1893491124260355,0.5585106382978723,0.1209302325581395,0.7075471698113207,0.1005586592178771,30.7359473884605,18.00236083799924,0.6663337478371925,0.3902785365778299
TUR,Türkiye,1568.0,1225.4456998556998,1568,2010,2025,Europe & Central Asia,Upper middle income,85518661.0,1323254808058.74,1.42224,0.4766598320832694,0.4766598320832694,0.1893491124260355,0.5575479702388721,0.872093023255814,0.490566037735849,0.2737430167597765,18.33517949959483,14.32957071037045,1.1849569640334876,0.92608444903629
