unep_region,m49_code,unep_country,household_food_waste_kg_capita,household_food_waste_tonnes_year,household_food_waste_confidence,household_food_waste_source
Australia and New Zealand,36,Australia,98,2559065.0,High confidence,UNEP Food Waste Index Report 2024 Annex 3
Australia and New Zealand,554,New Zealand,61,316590.0,High confidence,UNEP Food Waste Index Report 2024 Annex 3
Central Asia,398,Kazakhstan,88,1708990.0,Very low confidence,UNEP Food Waste Index Report 2024 Annex 3
Central Asia,417,Kyrgyzstan,86,568288.0,Very low confidence,UNEP Food Waste Index Report 2024 Annex 3
Central Asia,762,Tajikistan,86,852861.0,Very low confidence,UNEP Food Waste Index Report 2024 Annex 3
Central Asia,795,Turkmenistan,88,566433.0,Very low confidence,UNEP Food Waste Index Report 2024 Annex 3
Central Asia,860,Uzbekistan,86,2968299.0,Very low confidence,UNEP Food Waste Index Report 2024 Annex 3
Eastern Asia,156,China,76,108667369.0,Medium confidence,UNEP Food Waste Index Report 2024 Annex 3
Eastern Asia,344,"China, Hong Kong SAR",101,759923.0,Medium confidence,UNEP Food Waste Index Report 2024 Annex 3
Eastern Asia,446,China Macao SAR,76,53016.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3
Eastern Asia,408,Democratic People’s Republic of Korea,81,2104855.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3
Eastern Asia,392,Japan,60,7398006.0,High confidence,UNEP Food Waste Index Report 2024 Annex 3
Eastern Asia,496,Mongolia,18,60364.0,Medium confidence,UNEP Food Waste Index Report 2024 Annex 3
Eastern Asia,410,Republic of Korea,95,4921086.0,Medium confidence,UNEP Food Waste Index Report 2024 Annex 3
Eastern Europe,112,Belarus,71,674104.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3
Eastern Europe,100,Bulgaria,26,176280.0,Eurostat,UNEP Food Waste Index Report 2024 Annex 3
Eastern Europe,203,Czechia,69,723810.0,Eurostat,UNEP Food Waste Index Report 2024 Annex 3
Eastern Europe,348,Hungary,66,658020.0,Eurostat,UNEP Food Waste Index Report 2024 Annex 3
Eastern Europe,616,Poland,60,2391600.0,Eurostat,UNEP Food Waste Index Report 2024 Annex 3
Eastern Europe,498,Republic of Moldova,71,231061.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3
Eastern Europe,642,Romania,67,1323991.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3
Eastern Europe,643,Russian Federation,33,4829772.0,Medium confidence,UNEP Food Waste Index Report 2024 Annex 3
Eastern Europe,703,Slovakia,65,366600.0,Eurostat,UNEP Food Waste Index Report 2024 Annex 3
Eastern Europe,804,Ukraine,69,2758037.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3
Latin America and the Caribbean,660,Anguilla,95,1892.0,Very low confidence,UNEP Food Waste Index Report 2024 Annex 3
Latin America and the Caribbean,28,Antigua and Barbuda,88,7922.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3
Latin America and the Caribbean,32,Argentina,91,4156798.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3
Latin America and the Caribbean,533,Aruba,88,9682.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3
Latin America and the Caribbean,44,Bahamas,88,36089.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3
Latin America and the Caribbean,52,Barbados,88,24646.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3
Latin America and the Caribbean,84,Belize,53,21596.0,Medium confidence,UNEP Food Waste Index Report 2024 Annex 3
Latin America and the Caribbean,68,Bolivia (Plurinational State of),90,1101625.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3
Latin America and the Caribbean,535,"Bonaire, St. Eustatius & Saba",95,2838.0,Very low confidence,UNEP Food Waste Index Report 2024 Annex 3
Latin America and the Caribbean,76,Brazil,94,20289630.0,Medium confidence,UNEP Food Waste Index Report 2024 Annex 3
Latin America and the Caribbean,92,British Virgin Islands,88,2641.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3
Latin America and the Caribbean,136,Cayman Islands,88,6162.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3
Latin America and the Caribbean,152,Chile,88,1725226.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3
Latin America and the Caribbean,170,Colombia,70,3653302.0,Medium confidence,UNEP Food Waste Index Report 2024 Annex 3
Latin America and the Caribbean,188,Costa Rica,91,473131.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3
Latin America and the Caribbean,192,Cuba,91,1023900.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3
