iso3,country,region,income_group,population_year,population,gdp_current_usd_year,gdp_current_usd,rd_expenditure_pct_gdp_year,rd_expenditure_pct_gdp,undernourishment_pct_year,undernourishment_pct,child_stunting_pct_year,child_stunting_pct,adult_obesity_pct_year,adult_obesity_pct,agrifood_ghg_ktco2eq_year,agrifood_ghg_ktco2eq,agrifood_ghg_tco2eq_per_capita,cereal_import_dependency_period,cereal_import_dependency_period_end_year,cereal_import_dependency_pct,household_food_waste_kg_capita,household_food_waste_tonnes_year,household_food_waste_confidence,household_food_waste_source,unep_country,unep_region,m49_code,gdp_per_capita_current_usd,log10_population,log10_gdp_current_usd,log10_gdp_per_capita_current_usd,cereal_import_dependency_vulnerability_pct,need_food_security_score,need_child_stunting_score,need_adult_obesity_score,need_nutrition_score,need_food_waste_score,need_sustainability_score,need_supply_vulnerability_score,n_need_axes_available,food_system_need_index_v1,household_food_waste_confidence_group,food_system_need_index_v1_min3,food_system_need_index_main_min4,food_system_need_index_strict_all5,need_social_score,need_environmental_score,need_resilience_score,dominant_need_profile,missing_need_axes,flag_main_need_index_available,flag_strict_need_index_available,flag_population_ge_1m,flag_food_waste_higher_confidence,flag_food_waste_low_confidence,rank_need_v1_min3,rank_need_main_min4,rank_need_strict_all5
ABW,Aruba,Latin America & Caribbean,High income,2024,107995.0,2023.0,21891438816.9093,,,,,,,,,2021.0,328.1017,3.0381193573776564,,,,88.0,9682.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3,Aruba,Latin America and the Caribbean,533.0,202707.8921886134,5.0334036487955,10.340274306552349,5.30687065775685,,,,,,0.4860465116279069,0.7735849056603774,,2,,low or very low confidence,,,,,0.6298157086441422,,sustainability,food_security; nutrition; supply_vulnerability,False,False,False,False,True,,,
AFG,Afghanistan,Middle East & North Africa,Low income,2024,42647492.0,2023.0,103317492737.43,,,2023.0,28.1,2022.0,44.6,2016.0,5.4,2021.0,22315.4346,0.5232531516741946,2018-2020,2020.0,38.1,127.0,5229654.0,Medium confidence,UNEP Food Waste Index Report 2024 Annex 3,Afghanistan,Southern Asia,4.0,2422.5924642281425,7.6298934964042,11.014173858365478,3.3842803619612782,38.1,0.9289940828402368,0.950920245398773,0.0904255319148936,0.5206728886568333,0.9395348837209302,0.0377358490566037,0.4832402234636871,5,0.5820355855476582,medium confidence,0.5820355855476582,0.5820355855476582,0.5820355855476582,0.724833485748535,0.4886353663887669,0.4832402234636871,food_waste,none,True,True,True,False,False,58.0,54.0,45.0
AGO,Angola,Sub-Saharan Africa,Lower middle income,2024,37885849.0,2024.0,80396942241.6233,2016.0,0.03229,2023.0,22.5,2015.0,37.6,2016.0,8.05,2021.0,88450.3468,2.334653944273493,2018-2020,2020.0,42.9,89.0,3171950.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3,Angola,Sub-Saharan Africa,24.0,2122.083689918716,7.578477023983065,10.905239531424533,3.3267625074414666,42.9,0.893491124260355,0.9233128834355828,0.1914893617021276,0.5574011225688552,0.5720930232558139,0.6415094339622641,0.5307262569832403,5,0.6390441922061056,low or very low confidence,0.6390441922061056,0.6390441922061056,0.6390441922061056,0.7254461234146051,0.606801228609039,0.5307262569832403,food_security,none,True,True,True,False,True,31.0,29.0,25.0
ALB,Albania,Europe & Central Asia,Upper middle income,2024,2377128.0,2024.0,27177735527.5667,2022.0,0.19997,2023.0,5.4,2017.0,11.3,2016.0,21.700000000000003,2021.0,4313.9221,1.814762225677372,2018-2020,2020.0,38.5,86.0,243657.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3,Albania,Southern Europe,8.0,11433.013084514883,6.376052567591454,10.434213268112003,4.05816070052055,38.5,0.5177514792899408,0.4171779141104294,0.5638297872340425,0.490503850672236,0.4,0.5047169811320755,0.4916201117318435,5,0.4809184845652192,low or very low confidence,0.4809184845652192,0.4809184845652192,0.4809184845652192,0.5041276649810884,0.4523584905660378,0.4916201117318435,food_security,none,True,True,True,False,True,117.0,112.0,98.0
AND,Andorra,Europe & Central Asia,High income,2024,81938.0,2024.0,4039844390.22543,2022.0,0.15818,,,,,2016.0,25.6,2021.0,85.7224,1.04618614074056,,,,82.0,6598.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3,Andorra,Southern Europe,20.0,49303.67338994642,4.913485359183095,9.606364636950216,4.692879277767122,,,,0.7553191489361702,0.7553191489361702,0.3441860465116279,0.2075471698113207,,3,0.4356841217530396,low or very low confidence,0.4356841217530396,,,0.7553191489361702,0.2758666081614743,,nutrition,food_security; supply_vulnerability,False,False,False,False,True,138.0,,
ARE,United Arab Emirates,Middle East & North Africa,High income,2024,10986400.0,2024.0,537078829135.466,2021.0,1.49469,2023.0,2.5,,,2016.0,34.25,2021.0,19560.0201,1.780384848540013,2018-2020,2020.0,100.0,99.0,930427.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3,United Arab Emirates,Western Asia,784.0,48885.788714726026,7.0408554070492855,11.730038033457502,4.689182626408217,100.0,0.1893491124260355,,0.9308510638297872,0.9308510638297872,0.8372093023255814,0.4858490566037736,0.9636871508379888,5,0.6813891372046333,low or very low confidence,0.6813891372046333,0.6813891372046333,0.6813891372046333,0.5601000881279113,0.6615291794646775,0.9636871508379888,supply_vulnerability,none,True,True,True,False,True,18.0,16.0,13.0
ARG,Argentina,Latin America & Caribbean,Upper middle income,2024,45696159.0,2024.0,633266692533.689,2023.0,0.60111,2023.0,3.4,2018.0,8.7,2016.0,28.15,2021.0,263360.2653,5.763291074420501,2018-2020,2020.0,-139.0,91.0,4156798.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3,Argentina,Latin America and the Caribbean,32.0,13858.203980200808,7.659879696892381,11.801586646357924,4.141706949465543,0.0,0.408284023668639,0.3466257668711656,0.851063829787234,0.5988447983291998,0.6767441860465117,0.8915094339622641,0.1005586592178771,5,0.5351882202448983,low or very low confidence,0.5351882202448983,0.5351882202448983,0.5351882202448983,0.5035644109989194,0.7841268100043879,0.1005586592178771,sustainability,none,True,True,True,False,True,85.0,80.0,68.0
ARM,Armenia,Europe & Central Asia,Upper middle income,2024,3033500.0,2024.0,25786585949.6346,2024.0,0.2861,2023.0,2.5,2016.0,9.4,2016.0,20.05,2021.0,3716.2661,1.2250753584967855,2018-2020,2020.0,73.5,102.0,283222.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3,Armenia,Western Asia,51.0,8500.605224867184,6.481943999280067,10.411393846931167,3.9294498476511017,73.5,0.1893491124260355,0.3803680981595092,0.4654255319148936,0.4228968150372014,0.872093023255814,0.2783018867924528,0.7094972067039106,5,0.4944276088430828,low or very low confidence,0.49442760884308284,0.49442760884308284,0.49442760884308284,0.30612296373161846,0.5751974550241334,0.7094972067039106,food_waste,none,True,True,True,False,True,109.0,104.0,91.0
ASM,American Samoa,East Asia & Pacific,High income,2024,46765.0,2022.0,11323000000.0,2006.0,0.39552,,,,,,,2021.0,139.2562,2.977786806372287,,,,81.0,3258.0,Very low confidence,UNEP Food Waste Index Report 2024 Annex 3,American Samoa,Polynesia,16.0,242125.52122313692,4.669920938681443,10.0539615073145,5.384040568633057,,,,,,0.3162790697674418,0.7688679245283019,,2,,low or very low confidence,,,,,0.5425734971478718,,sustainability,food_security; nutrition; supply_vulnerability,False,False,False,False,True,,,
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,2024,93772.0,2024.0,2224814814.81481,,,,,,,2016.0,18.75,2021.0,232.6823,2.481362240327603,2018-2020,2020.0,97.5,88.0,7922.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3,Antigua and Barbuda,Latin America and the Caribbean,28.0,23725.790372550546,4.972073178882086,9.347293867788366,4.375220688906281,97.5,,,0.4148936170212766,0.4148936170212766,0.4860465116279069,0.6933962264150944,0.888268156424581,4,0.6206511278722148,low or very low confidence,0.6206511278722147,0.6206511278722147,,0.4148936170212766,0.5897213690215006,0.888268156424581,supply_vulnerability,food_security,True,False,False,False,True,38.0,36.0,
AUS,Australia,East Asia & Pacific,High income,2024,27196812.0,2024.0,1752193307380.34,2021.0,1.85783,2023.0,2.5,2007.0,1.9,2016.0,29.0,2021.0,189201.0103,6.9567348665718605,2018-2020,2020.0,-132.6,98.0,2559065.0,High confidence,UNEP Food Waste Index Report 2024 Annex 3,Australia,Australia and New Zealand,36.0,64426.42275059077,7.434517999183014,12.243582017184506,4.809064018001492,0.0,0.1893491124260355,0.0705521472392638,0.8723404255319149,0.4714462863855894,0.827906976744186,0.9198113207547168,0.1005586592178771,5,0.5018144711056809,higher confidence,0.5018144711056809,0.5018144711056809,0.5018144711056809,0.33039769940581243,0.8738591487494514,0.1005586592178771,sustainability,none,True,True,True,True,False,106.0,101.0,88.0
AUT,Austria,Europe & Central Asia,High income,2024,9177982.0,2024.0,521642466921.745,2023.0,3.25517,2023.0,2.5,,,2016.0,20.1,2021.0,17461.0671,1.902495243507777,2018-2020,2020.0,17.8,83.0,742020.0,Eurostat,UNEP Food Waste Index Report 2024 Annex 3,Austria,Western Europe,40.0,56836.29221780398,6.962747201614433,11.717372940083964,4.754625738469532,17.8,0.1893491124260355,,0.4734042553191489,0.4734042553191489,0.3581395348837209,0.5566037735849056,0.3268156424581006,5,0.3808624637343823,higher confidence,0.3808624637343823,0.3808624637343823,0.3808624637343823,0.3313766838725922,0.45737165423431325,0.3268156424581006,sustainability,none,True,True,True,True,False,164.0,152.0,135.0
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,2024,10202830.0,2024.0,74315882352.9412,2024.0,0.20778,2023.0,2.5,2023.0,6.6,2016.0,19.700000000000003,2021.0,17999.1683,1.7641348821846488,2018-2020,2020.0,31.5,102.0,1055462.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3,Azerbaijan,Western Asia,31.0,7283.849907617905,7.008720650479004,10.871081638540256,3.862360988061252,31.5,0.1893491124260355,0.2331288343558282,0.4414893617021276,0.3373090980289779,0.872093023255814,0.4811320754716981,0.435754189944134,5,0.4631274998253319,low or very low confidence,0.46312749982533197,0.46312749982533197,0.46312749982533197,0.2633291052275067,0.676612549363756,0.435754189944134,food_waste,none,True,True,True,False,True,126.0,120.0,106.0
BDI,Burundi,Sub-Saharan Africa,Low income,2024,14047786.0,2024.0,2162378759.3467,2018.0,0.21312,,,2024.0,52.8,2016.0,5.35,2021.0,7611.6494,0.5418397888464417,2018-2020,2020.0,22.9,92.0,1185863.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3,Burundi,Sub-Saharan Africa,108.0,153.93021785402345,7.147607882693076,9.334931766715906,2.18732388402283,22.9,,1.0,0.0824468085106382,0.5412234042553191,0.7465116279069768,0.0424528301886792,0.3743016759776536,4,0.4261223845821572,low or very low confidence,0.42612238458215723,0.42612238458215723,,0.5412234042553191,0.394482229047828,0.3743016759776536,food_waste,food_security,True,False,True,False,True,142.0,134.0,
BEL,Belgium,Europe & Central Asia,High income,2024,11858610.0,2024.0,664564181486.953,2023.0,3.27235,2023.0,2.5,2023.0,1.9,2016.0,22.05,2021.0,23731.7529,2.0012255146260816,2018-2020,2020.0,65.1,71.0,827860.0,Eurostat,UNEP Food Waste Index Report 2024 Annex 3,Belgium,Western Europe,56.0,56040.64738506056,7.07403378643905,11.82253693007876,4.748503143639709,65.1,0.1893491124260355,0.0705521472392638,0.5851063829787234,0.3278292651089936,0.1976744186046511,0.589622641509434,0.664804469273743,5,0.3938559813845715,higher confidence,0.3938559813845714,0.3938559813845714,0.3938559813845714,0.2585891887675145,0.39364853005704253,0.664804469273743,supply_vulnerability,none,True,True,True,True,False,158.0,147.0,130.0
BEN,Benin,Sub-Saharan Africa,Lower middle income,2024,14462724.0,2024.0,21482643720.2743,,,2023.0,14.3,2021.0,34.1,2016.0,9.45,2021.0,19157.1726,1.3245895171614974,2018-2020,2020.0,42.2,89.0,1189816.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3,Benin,Sub-Saharan Africa,204.0,1485.3801898089391,7.160250098404791,10.332087725932372,3.1718376275275832,42.2,0.7544378698224852,0.8711656441717791,0.2553191489361702,0.5632423965539747,0.5720930232558139,0.3490566037735849,0.5251396648044693,5,0.5527939116420656,low or very low confidence,0.5527939116420656,0.5527939116420656,0.5527939116420656,0.6588401331882299,0.4605748135146994,0.5251396648044693,food_security,none,True,True,True,False,True,76.0,71.0,59.0
BFA,Burkina Faso,Sub-Saharan Africa,Low income,2024,23548781.0,2024.0,23250214909.5391,2024.0,0.10477,2023.0,13.1,2021.0,21.1,2016.0,5.35,2021.0,36057.6688,1.5311904594976695,2018-2020,2020.0,6.4,92.0,2085610.0,Low confidence,UNEP Food Waste Index Report 2024 Annex 3,Burkina Faso,Sub-Saharan Africa,854.0,987.3213781018686,7.371968430841751,10.36642697157417,2.9944585407324182,6.4,0.7396449704142012,0.6441717791411042,0.0824468085106382,0.3633092938258713,0.7465116279069768,0.4150943396226415,0.2290502793296089,5,0.4987221022198599,low or very low confidence,0.4987221022198599,0.4987221022198599,0.4987221022198599,0.5514771321200362,0.5808029837648091,0.2290502793296089,food_waste,none,True,True,True,False,True,108.0,103.0,90.0
BGD,Bangladesh,South Asia,Lower middle income,2024,173562364.0,2024.0,450119424622.389,,,2023.0,10.4,2022.0,23.6,2016.0,3.65,2021.0,139806.6542,0.8055125026990297,2018-2020,2020.0,11.2,82.0,14101956.0,Medium confidence,UNEP Food Waste Index Report 2024 Annex 3,Bangladesh,Southern Asia,50.0,2593.416073904069,8.23945555678999,11.653327755049762,3.413872198259773,11.2,0.6686390532544378,0.7055214723926381,0.0106382978723404,0.3580798851324892,0.3441860465116279,0.1320754716981132,0.2681564245810056,5,0.3542273762355347,medium confidence,0.35422737623553474,0.35422737623553474,0.35422737623553474,0.5133594691934635,0.23813075910487053,0.2681564245810056,food_security,none,True,True,True,False,False,173.0,161.0,144.0
BGR,Bulgaria,Europe & Central Asia,High income,2024,6441421.0,2024.0,112211952703.831,2023.0,0.79224,2023.0,2.5,2014.0,7.0,2016.0,24.9,2021.0,15666.9907,2.432225855133518,2018-2020,2020.0,-268.8,26.0,176280.0,Eurostat,UNEP Food Waste Index Report 2024 Annex 3,Bulgaria,Eastern Europe,100.0,17420.372415315036,6.808981684810587,11.050039119993569,4.241057435182979,0.0,0.1893491124260355,0.2515337423312883,0.7340425531914894,0.4927881477613888,0.0162790697674418,0.6745283018867925,0.1005586592178771,5,0.2947006582119071,higher confidence,0.2947006582119071,0.2947006582119071,0.2947006582119071,0.34106863009371213,0.3454036858271171,0.1005586592178771,sustainability,none,True,True,True,True,False,190.0,177.0,159.0
