"Data Source","WDI Database Archives",

"Last Updated Date","2025-10-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","19059367280.8107","26703473978.9648","32577237364.505","37814785002.6292","42002372292.6959","70322533882.9538","76522468020.7961","86909763347.7169","156757169810.04","153192681129.331","164679542869.768","182638928653.826","198360770303.437","199856364203.402","216931486621.592","221652047703.181","224689486859.864","182394452514.033","201107581565.419","210390560336.419","219028359216.871","237042974301.727","251134308380.324","226053430167.916","219790154749.76","232820756424.129","120818937988.827","126364898882.682","129389828491.62","135884051396.648","136368967039.106","140707555307.263","87643264602.4675","71059789530.1083","53457016581.9261","58055084533.7204","44489015778.0214","21891438816.9093","","",
"Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","186558696.279204","220127246.376812","227281024.620741","254020153.340635","308008897.569444","411578334.159643","446416105.825017","388958731.302938","375895956.383462","327861832.946636","330070689.298282","346737964.774951","482000594.03588","611316399.407088","721425939.15155","795449332.396346","1029048481.88051","1106928582.86629","1210013651.87713","1007025755.00065","1017549124.33238","1178738991.19295","1223945356.62682","1180597272.72727","1211932397.81713","1239876305.13531","1401695227.56587","1484017897.09172","1717485413.13759","2373927765.23702","2916786689.84356","3248215396.09501","3536632793.87781","4010990966.32904","4001201113.22689","3650083356.48791","3346516556.29139","3427022518.76564","3146151869.45908","3248924588.42273","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","GDP (current US$)","NY.GDP.MKTP.CD","553538823959.135","570738552950.682","617141469668.702","718843828559.902","692928967000.21","776341718019.706","844547308601.092","887217261733.572","964057053789.357","1093184013543.43","1145960885713.49","1259057748327.75","1364431993907.12","1771682862521.89","2182686140787.2","2323916414333.89","2413212564638.98","2731967254221.09","3071905920604.05","3576803659675.88","4555199809706.64","4710987614217.56","4514603552126.66","4725865650935.94","4338082004988.29","3756221800666.28","4152683016138.02","5020769303367.53","5446429745101.48","5755106698517.02","6618484105587.63","7110151119122.92","6381973376359.9","6394340207215.11","6470943733710.37","7272943682712.1","7250308752084.62","7639114153132.42","7166436453459.07","7071630994047.22","7657400737637.05","6965060357023.98","7139751506071.04","9484145445367.72","11798537163808.2","13763575507596.6","15475473786069.5","17761348018198.6","19068221066409.6","19226778880120.6","22927432850469.3","25591506701353","25824710582171.4","26115935787550.7","26647054990749.9","24592670885167.3","23170744319126.2","26625992511485.4","27198634697923.2","27083910263383.4","24983394520391","22790817439709.7","18948467368922.9","12348924439168.8","1287676979450.75","",
"Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD","72600005393.7687","74100001664.5058","73800002923.6971","86816385894.4615","88000005384.4134","111739996960.244","155399996734.7","185740008740.355","152440003778.367","156386670273.645","197624185686.744","206915312264.223","180297768739.2","195866660179.589","245733328590.178","269799993281.478","291333335315.655","336680008995.433","376200010638.279","421556958503.862","415149236995.408","396585869540.485","","","","","","","","","","","","","","","","","","","37913437110.3055","195747951173.348","468916938258.819","526705483682.113","610805416365.568","712204412095.005","790957665112.127","1049616057641.29","1075325336199.74","1243711255339.28","1564090621946.18","1709122947002.77","1780978094002.06","1728181206673.28","1592380565570.61","1386764840673.07","1179352719485.14","1027724855135.75","815143509378.666","682551256707.149","540289647707.625","273535459280.661","144992096001.164","103317492737.43","","",
"Africa Western and Central","AFW","GDP (current US$)","NY.GDP.MKTP.CD","295999727445.506","316335015470.803","339425302070.923","360266973135.439","393375942806.671","422177240155.056","449840507857.835","410464307815.19","423470887641.433","480316630098.632","666846804838.809","599529281801.065","724817832369.953","904447166457.596","1249174331435.25","1448083078915.48","1740786258554.58","1829161313015.07","1999141147294.22","2474545747515.08","3110868905011.16","5757365266455.48","5141988761050.05","3861118399418.28","3255512064775.08","3359568090599.7","2921117775865.51","2999615465825.18","2965895970106.84","2770965006617.3","3309616368211.73","3329486157952.87","3271609311104.9","3061256570816.45","2954441417679.85","4202883300048.83","5151892041018.69","5339821719604.16","5647126645874.1","3711580324577.21","3790362101539.58","3992309798632.08","4778568655345.06","5532246597048.09","6859104448252.26","8385645567288.28","10667248862842.4","12519819331411","15291124358319.7","13683641228220.3","16083201483541","18303643595619.5","19821783003001.1","22393722716833.3","23865560718267.6","20705057827933.6","18677804721027","18500818648396.5","20530553073113.8","21932471793363.2","21251966010039.4","17748989228845.4","14081843656002","7996602910335.72","670025655309.603","",
"Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","290626798467.412","272003741611.689","272003741611.689","283464078132.833","300475498896.639","843458231630.862","799662253847.417","895485110240.103","953718295712.353","1163271327802.34","1255041663515.15","1282754057938.69","789406286850.563","668416720111.247","546222460227.647","645085197889.932","909684144567.505","919953784643.43","766618006223.741","725594384669.628","1066219842472.63","1038309318011.79","1550374872340.5","1806112247296.04","2440219086176.39","3655083500778.05","5190477478548.81","6768108982116.99","9052712289002.35","7426521452805.15","8304122787547.5","10251006546124.3","10980946719015.1","11127710214962.8","10090601222392.1","7361672750320.15","5205007694004.23","5430229854620.14","4021508856993.54","2835269680439.99","1411388432536.05","1408929828344.56","1684486636884.17","847890265175.138","80396942241.6233","",
"Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","11104191639.5789","12722372889.0629","13095184076.979","13237659524.4755","235461555493.274","240495968325.97","265953084828.5","263857541090","260110103750","285699854243.5","257167398322.5","139346471338.099","85176470215.927","151243638611.946","240905330856.461","297046283384.744","382865692829.604","273770942368.935","319620508732.09","398558416862.559","424073238517.879","470377411381.608","512039548648.601","651406992346.107","833907024242.684","917035392703.196","989564147655.667","1155613573650.36","1352643960247.92","1229490589593.32","1191462178633.55","1225398599340.23","1111539845383.09","1087479641555.95","1032341655116.65","808686945996.551","747991459505.456","690500240500.599","667546144861.658","554106844751.933","407797155782.329","378785162664.563","303164395623.094","233193791007.738","27177735527.5667","",
"Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","8097693724.68502","9209044068.07116","11681375189.0815","15535611265.9635","19215464013.2882","22672340828.0414","23410107745.2252","26162901139.149","31725524288.8848","42390983682.9857","45978818796.8925","40064038492.8544","38718279916.3638","33769140912.3252","33997405402.1217","35714268804.5013","49645826754.0229","62964726377.0714","74306873512.2503","81933407584.8511","105988866597.423","114011656179.113","124630282440.96","103727097417.947","104807315262.822","121410449540.903","126070520624.324","121604098964.573","124830179743.039","127709899599.635","139113001157.437","149701801220.083","171904126606.973","232789537825.069","284633398311.324","313136642732.145","343009965880.959","391297318277.778","400519383542.087","282293482845.563","261595808852.781","271476185851.273","244174553119.341","248863631488.518","188148353850.713","159476807547.066","164627592539.648","159229492535.063","141753593862.257","113574802257.986","60711091440.3707","69848150540.9609","53918275105.1514","37621098362.6518","4039844390.22543","",
"Netherlands Antilles","ANT","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","23671999628.9058","26981338591.9544","28209318847.3791","28770662875.1759","28377338426.9033","28130669334.7931","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab League states","ARB","GDP (current US$)","NY.GDP.MKTP.CD","","119982505144.815","121966024270.559","134177745834.935","148869762637.247","267704091016.323","283503002161.825","306000657275.205","2984310670292.48","3283998817480.25","3649345785917.33","4227968274224.88","5059294916604.96","6447682712613.54","12284486480419.7","13614948003237.3","16919517158963.8","19536620598301.3","21500364748975.5","28992158756009.6","39217003479291.7","40448181264457.7","37742757453686","35486030325089.3","35919565024488","35448937037084","33736278200445.8","36216151345485.5","35372010352066","37317369113868.4","50346484453861.1","44651831007889.8","47161792679709.8","47832312536103.1","49241171860454.8","52926174144424.4","58279107909307.7","62095105191677.9","60137231850678.5","65774321959925.7","76021897102487.2","73780965086621.8","74388491282927.2","83522416248888.2","98262479820319.9","120541286267897","143094109723293","166857375439011","211355097339703","183087982952459","210682482465243","235723492971429","240942331687686","239342559696855","222682344269214","177974006937600","157126845250490","135943317325923","123292619966675","102359342362344","68246713742123.1","61664917971674.9","57545033581956.1","35134175305532.8","3704768275595.84","",
