"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.5645942453309","31.9350357855753","31.2662557629741","30.0511317738559","28.4763683484633","26.914058438974","25.8834080212087","24.8359419272766","23.9117369958069","23.0488067147033","22.5897009939207","22.3719965919962","21.3665223347147","21.565451461899","22.4137570934751","23.0294393963669","23.294658366462","23.4907463631339","24.1452738383161","24.9934817559762","25.0521825778987","26.1608677463918","26.0837782468882","","",
"Afghanistan","AFG","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.8","43.5","38.7","34.6","30.6","26.6","22.7","19.7","17.6","17.7","18.6","19.7","19.4","19.3","19.9","20.4","21.3","22.6","25.1","27.5","28.8","28.9","28.1","","",
"Africa Western and Central","AFW","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.7854733453816","15.3283226885861","14.8775837487015","14.3432793621116","13.8453762595923","13.3482886483736","12.8617492158932","12.4626262838809","12.2803473663128","12.4037786661332","12.6240135326754","12.7749556565497","12.5855251034772","12.4209077117429","12.148140967411","12.0354556875194","12.250094166785","12.4297258173265","13.3282692322337","13.9111231926231","14.8348476661678","15.5202406590766","16.2438900635491","","",
"Angola","AGO","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.8","63.6","57.5","50.6","42.9","36","29.8","24.4","19.7","16.2","14.8","14","13.5","13.2","14.2","15.2","15.4","15.9","18.2","20.8","22.6","23.1","22.5","","",
"Albania","ALB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.8","5.9","7.3","8.5","8.8","8.7","8.2","7.3","6.1","5.4","4.9","4.6","4.6","4.6","4.5","4.4","4.3","4.3","4.3","5.4","5.8","6.2","5.4","","",
"Andorra","AND","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.87765510822003","9.72744586394623","9.67035105325062","9.62529297531287","9.39599272366028","9.16200463084899","8.92713126244478","8.73667728947698","8.63155073711354","8.60180078406826","8.57914749119964","8.60342812867047","8.65321480914556","8.70089887104271","8.86615607238631","9.19504467690292","9.45085572492021","9.63612084251668","10.0075236428171","10.5169657263349","11.1460124620494","11.7017578998128","12.0527911189753","","",
"United Arab Emirates","ARE","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","2.5","2.5","3.1","3.8","4.6","5.3","5.9","5.6","4.9","3.9","3.5","3.5","3.6","3.5","3.4","2.9","2.8","2.5","2.5","2.5","2.5","","",
"Argentina","ARG","Prevalence of undernourishment (% of population)","SN.ITK.DEFC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3.7","4.3","3.9","3.6","3.3","3.2","3.2","3.4","3.7","3.7","3.6","3.2","2.9","2.9","3.2","3.5","3.7","3.6","3.5","3.4","3.3","3.4","","",
